%OpenBCI Raw EEG Data % %Sample Rate = 250.0 Hz %First Column = SampleIndex %Other Columns = EEG data in microvolts
-29, 7715.87, 47.03, 16367.22, 33514.58, 1802.49, 39369.40, -2371.94, 28161.54
-28, 10512.65, 49.13, 22372.75, 45692.55, 2429.34, 53677.77, -3239.68, 38392.02
-27, 10759.73, 62.65, 22839.41, 46739.66, 2513.10, 54903.03, -3301.24, 39270.42
-26, 8271.15, 50.34, 17556.18, 35915.98, 1928.98, 42191.04, -2540.01, 30180.80
-25, 7494.02, 29.86, 15942.29, 32547.38, 1726.96, 38238.00, -2315.44, 27350.46
-24, 8690.74, 48.66, 18457.73, 37718.12, 2015.59, 44311.23, -2677.31, 31692.80
-23, 8944.09, 44.93, 19027.99, 38886.69, 2068.41, 45684.08, -2766.59, 32674.25
-22, 7903.58, 46.85, 16811.01, 34364.64, 1832.55, 40363.54, -2441.79, 28870.78
-21, 7314.54, 34.38, 15557.13, 31794.53, 1681.59, 37343.97, -2274.27, 26707.04
-20, 7571.97, 44.88, 16066.01, 32856.46, 1754.46, 38592.00, -2345.30, 27602.10
-19, 7619.98, 36.08, 16181.97, 33058.72, 1746.27, 38829.69, -2375.21, 27768.55
-18, 7226.25, 42.71, 15315.59, 31297.91, 1657.58, 36760.90, -2246.82, 26288.04
-17, 6875.02, 36.25, 14601.75, 29848.83, 1574.75, 35061.14, -2147.47, 25074.54
-16, 6761.51, 51.16, 14345.55, 29345.80, 1565.58, 34463.39, -2097.17, 24650.75
-15, 6604.65, 31.69, 14042.86, 28693.80, 1511.51, 33700.10, -2064.00, 24103.11
-14, 6432.90, 37.62, 13669.25, 27910.80, 1476.51, 32780.59, -2001.53, 23444.34
-13, 6077.73, 44.88, 12888.44, 26370.74, 1404.99, 30969.43, -1892.75, 22147.07
-12, 5817.44, 36.68, 12358.37, 25257.31, 1329.88, 29663.67, -1822.11, 21212.61
-11, 5685.95, 39.88, 12089.43, 24678.20, 1306.17, 28984.53, -1770.55, 20728.85
-10, 5625.80, 38.65, 11958.72, 24430.68, 1294.79, 28695.21, -1751.55, 20522.81
-9, 5451.19, 49.13, 11552.48, 23618.01, 1264.57, 27740.72, -1684.61, 19841.75
-8, 5161.22, 40.39, 10951.44, 22386.14, 1198.70, 26297.03, -1600.79, 18811.38
-7, 5012.85, 35.11, 10647.34, 21742.99, 1156.55, 25543.73, -1560.69, 18273.53
-6, 4985.13, 35.79, 10574.70, 21616.35, 1152.95, 25391.20, -1553.36, 18165.73
-5, 4572.36, 30.49, 9701.97, 19844.81, 1063.97, 23309.27, -1421.41, 16677.10
-4, 4400.99, 18.64, 9364.55, 19122.61, 1015.95, 22460.01, -1375.35, 16066.75
-3, 4376.27, 31.85, 9285.88, 18976.47, 1018.73, 22287.01, -1362.85, 15942.96
-2, 4264.15, 31.96, 9053.62, 18501.47, 991.66, 21729.60, -1329.82, 15542.95
-1, 4037.44, 36.10, 8565.14, 17524.57, 937.99, 20578.53, -1255.72, 14723.61
